"","Geneid","DZ_curves_0_1","DZ_curves_0_2","DZ_curves_0_3","ensgene","symbol"
"9204","ENSG00000187601.5",305.162716554943,304.860484906651,297.293662633708,"ENSG00000187601","MAGEH1"
"9205","ENSG00000187605.16",8623.59543749889,8292.66017447355,8939.60966707889,"ENSG00000187605","TET3"
"9206","ENSG00000187607.16",1794.89804406901,2308.60059158045,2044.3105486008,"ENSG00000187607","ZNF286A"
"9207","ENSG00000187626.9",555.053841883914,621.234797437513,573.667277874655,"ENSG00000187626","ZKSCAN4"
"9208","ENSG00000187630.18",350.751614903719,296.506940522541,293.066110893673,"ENSG00000187630","DHRS4L2"
"9209","ENSG00000187678.10",5366.51676451678,5342.48385593361,5080.50816574078,"ENSG00000187678","SPRY4"
"9210","ENSG00000187713.7",1701.8881947628,1766.74700695378,1709.81336307687,"ENSG00000187713","TMEM203"
"9211","ENSG00000187735.15",8919.09409547284,8884.77870396375,8719.76057060928,"ENSG00000187735","TCEA1"
"9212","ENSG00000187736.13",2096.28370147383,1800.8286832765,1911.36759587209,"ENSG00000187736","NHEJ1"
"9213","ENSG00000187741.16",1562.0595459981,1512.83040593813,2017.63141473507,"ENSG00000187741","FANCA"
"9214","ENSG00000187742.15",6214.19336953695,6042.13431114484,6625.31994159387,"ENSG00000187742","SECISBP2"
"9215","ENSG00000187764.12",892.252757353175,785.350560823129,994.015804686515,"ENSG00000187764","SEMA4D"
"9216","ENSG00000187772.8",8564.73642422235,8458.12252792025,9096.78777072725,"ENSG00000187772","LIN28B"
"9217","ENSG00000187778.14",2028.13424299232,2036.1181571095,2108.15479621082,"ENSG00000187778","MCRS1"
"9218","ENSG00000187790.12",1609.89873610586,1692.9946939389,2160.96451178269,"ENSG00000187790","FANCM"
"9219","ENSG00000187792.5",530.643376234876,512.719627542195,532.872793774986,"ENSG00000187792","ZNF70"
"9220","ENSG00000187800.14",1288.81069203767,1333.53448270439,1527.00432673669,"ENSG00000187800","PEAR1"
"9221","ENSG00000187801.15",504.851978714269,495.091782082498,499.794625677174,"ENSG00000187801","ZFP69B"
"9222","ENSG00000187815.10",337.065034737944,336.8495903929,337.075552390883,"ENSG00000187815","ZFP69"
"9223","ENSG00000187837.4",665.709286540467,651.192769468115,609.695285879403,"ENSG00000187837","HIST1H1C"
"9224","ENSG00000187840.5",2511.02846808686,2694.97697273605,2434.56114614165,"ENSG00000187840","EIF4EBP1"
"9225","ENSG00000187866.10",1255.25833728732,1191.36581456272,1214.94648655009,"ENSG00000187866","FAM122A"
"9226","ENSG00000187951.11",368.949439857828,411.66054101266,605.225140409335,"ENSG00000187951","ARHGAP11B"
"9227","ENSG00000187951.11",368.949439857828,411.66054101266,605.225140409335,"ENSG00000187951","ARHGAP11B"
"9228","ENSG00000187953.10",880.775354180234,1075.49943862718,1204.37852179896,"ENSG00000187953","PMS2CL"
"9229","ENSG00000187954.13",420.823227741053,359.698918011825,419.263299718314,"ENSG00000187954","CYHR1"
"9230","ENSG00000187994.14",525.706594386136,580.770895786182,540.51457181258,"ENSG00000187994","RINL"
"9231","ENSG00000188001.10",458.158840118554,334.628020437943,424.860338270015,"ENSG00000188001","TPRG1"
"9232","ENSG00000188002.11",494.732673646393,438.92033238126,471.817998282261,"ENSG00000188002","AC026412.1"
"9233","ENSG00000188010.16",312.090611795949,358.668660168653,382.544516010626,"ENSG00000188010","MORN2"
"9234","ENSG00000188021.9",3378.98097015918,3422.1959305456,3403.08747001958,"ENSG00000188021","UBQLN2"
